#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corp,MSFT,11.596,142.78,0.07,(0.05%)
2,Apple Inc,AAPL,11.584,247.60,2.82,(1.15%)
3,Amazon.com Inc,AMZN,9.933,"1,869.66",-11.27,(-0.60%)
4,Alphabet Inc,GOOG,4.081,"1,097.28",-18.01,(-1.61%)
5,Alphabet Inc,GOOGL,4.071,"1,091.78",-19.89,(-1.79%)
6,Facebook Inc,FB,3.925,152.83,-0.30,(-0.20%)
7,Intel Corp,INTC,2.715,48.08,2.14,(4.66%)
8,PepsiCo Inc,PEP,2.223,112.42,-4.92,(-4.19%)
9,Comcast Corp,CMCSA,2.217,33.90,-2.04,(-5.68%)
10,Cisco Systems Inc,CSCO,2.174,36.15,-1.57,(-4.15%)
11,Adobe Inc,ADBE,2.023,310.55,3.04,(0.99%)
12,Netflix Inc,NFLX,1.977,338.91,6.88,(2.07%)
13,Costco Wholesale Corp,COST,1.832,297.49,-7.73,(-2.53%)
14,NVIDIA Corp,NVDA,1.771,217.75,4.78,(2.24%)
15,Amgen Inc,AMGN,1.605,189.51,-9.25,(-4.65%)
16,PayPal Holdings Inc,PYPL,1.495,91.49,-2.20,(-2.35%)
17,Gilead Sciences Inc,GILD,1.350,74.86,-3.69,(-4.69%)
18,Texas Instruments Inc,TXN,1.290,101.15,-0.42,(-0.41%)
19,Charter Communications Inc,CHTR,1.147,381.58,-11.49,(-2.92%)
20,Broadcom Inc,AVGO,1.048,197.23,2.78,(1.43%)
21,Tesla Inc,TSLA,1.047,447.00,19.36,(4.53%)
22,QUALCOMM Inc,QCOM,1.008,64.48,-0.52,(-0.80%)
23,Starbucks Corp,SBUX,0.985,60.82,-0.60,(-0.97%)
24,T-Mobile US Inc,TMUS,0.924,77.34,-2.11,(-2.66%)
25,Mondelez International Inc,MDLZ,0.890,44.97,-0.50,(-1.10%)
26,Fiserv Inc,FISV,0.780,83.94,-0.52,(-0.62%)
27,Intuit Inc,INTU,0.764,204.42,-11.47,(-5.31%)
28,Vertex Pharmaceuticals Inc,VRTX,0.754,213.38,-2.31,(-1.07%)
29,Regeneron Pharmaceuticals Inc,REGN,0.718,462.31,-27.52,(-5.62%)
30,Biogen Inc,BIIB,0.706,286.01,-2.01,(-0.70%)
31,Automatic Data Processing Inc,ADP,0.690,112.11,-5.26,(-4.48%)
32,Booking Holdings Inc,BKNG,0.677,"1,243.88",52.40,(4.40%)
33,Intuitive Surgical Inc,ISRG,0.641,411.77,3.57,(0.87%)
34,Advanced Micro Devices Inc,AMD,0.603,41.30,1.48,(3.72%)
35,Walgreens Boots Alliance Inc,WBA,0.589,44.95,-3.60,(-7.42%)
36,CSX Corp,CSX,0.585,52.71,-2.30,(-4.18%)
37,Activision Blizzard Inc,ATVI,0.565,53.35,-0.78,(-1.44%)
38,Micron Technology Inc,MU,0.546,36.88,0.59,(1.63%)
39,Applied Materials Inc,AMAT,0.504,41.22,1.03,(2.56%)
40,JD.com Inc ADR,JD,0.469,38.16,0.95,(2.55%)
41,Analog Devices Inc,ADI,0.452,89.59,-0.74,(-0.81%)
42,Illumina Inc,ILMN,0.449,243.56,18.76,(8.35%)
43,Autodesk Inc,ADSK,0.445,150.30,1.07,(0.72%)
44,Exelon Corp,EXC,0.428,32.61,0.20,(0.62%)
45,Xcel Energy Inc,XEL,0.423,56.93,-1.06,(-1.83%)
46,Monster Beverage Corp,MNST,0.397,55.14,0.82,(1.51%)
47,Lam Research Corp,LRCX,0.384,210.44,15.43,(7.91%)
48,Kraft Heinz Co/The,KHC,0.370,22.20,-0.09,(-0.38%)
49,Electronic Arts Inc,EA,0.357,90.03,-0.04,(-0.04%)
50,Cognizant Technology Solutions Corp,CTSH,0.346,44.53,-1.96,(-4.22%)
51,Baidu Inc ADR,BIDU,0.337,89.95,0.33,(0.37%)
52,eBay Inc,EBAY,0.327,28.07,-1.53,(-5.17%)
53,Ross Stores Inc,ROST,0.319,67.56,2.56,(3.94%)
54,MercadoLibre Inc,MELI,0.313,492.86,29.33,(6.33%)
55,Verisk Analytics Inc,VRSK,0.304,127.69,-8.79,(-6.44%)
56,O'Reilly Automotive Inc,ORLY,0.299,273.19,-17.34,(-5.97%)
57,Marriott International Inc/MD,MAR,0.297,76.51,9.71,(14.54%)
58,NetEase Inc ADR,NTES,0.289,289.97,-1.21,(-0.42%)
59,NXP Semiconductors NV,NXPI,0.289,76.01,-0.11,(-0.15%)
60,Sirius XM Holdings Inc,SIRI,0.288,4.59,-0.21,(-4.28%)
61,Workday Inc,WDAY,0.282,131.28,4.54,(3.58%)
62,Paychex Inc,PAYX,0.282,53.60,-4.43,(-7.63%)
63,CoStar Group Inc,CSGP,0.279,571.12,11.11,(1.98%)
64,KLA Corp,KLAC,0.273,127.39,0.03,(0.02%)
65,Willis Towers Watson PLC,WLTW,0.267,155.51,2.92,(1.91%)
66,PACCAR Inc,PCAR,0.263,53.67,-2.36,(-4.21%)
67,VeriSign Inc,VRSN,0.263,160.82,-3.78,(-2.30%)
68,Lululemon Athletica Inc,LULU,0.259,170.14,15.28,(9.87%)
69,Xilinx Inc,XLNX,0.258,74.56,-0.90,(-1.19%)
70,Cintas Corp,CTAS,0.257,179.04,-3.96,(-2.16%)
71,Cerner Corp,CERN,0.254,57.36,-2.13,(-3.58%)
72,ANSYS Inc,ANSS,0.253,214.76,-6.33,(-2.86%)
73,Fastenal Co,FAST,0.252,30.57,-1.73,(-5.36%)
74,Alexion Pharmaceuticals Inc,ALXN,0.251,81.53,-1.97,(-2.36%)
75,Synopsys Inc,SNPS,0.235,113.32,-1.65,(-1.43%)
76,Seattle Genetics Inc,SGEN,0.233,101.26,1.25,(1.25%)
77,Dollar Tree Inc,DLTR,0.228,74.65,3.78,(5.33%)
78,IDEXX Laboratories Inc,IDXX,0.225,191.30,-1.88,(-0.97%)
79,Citrix Systems Inc,CTXS,0.222,125.48,0.17,(0.14%)
80,Copart Inc,CPRT,0.221,64.09,-5.90,(-8.43%)
81,Splunk Inc,SPLK,0.221,115.41,7.89,(7.34%)
82,ASML Holding NV,ASML,0.215,231.61,17.58,(8.21%)
83,Cadence Design Systems Inc,CDNS,0.212,55.97,0.25,(0.45%)
84,Microchip Technology Inc,MCHP,0.197,60.96,0.40,(0.66%)
85,Incyte Corp,INCY,0.195,70.13,3.62,(5.44%)
86,Check Point Software Technologies Ltd,CHKP,0.189,92.51,1.00,(1.09%)
87,BioMarin Pharmaceutical Inc,BMRN,0.181,74.50,0.22,(0.30%)
88,Skyworks Solutions Inc,SWKS,0.179,77.59,0.31,(0.39%)
89,CDW Corp/DE,CDW,0.172,86.42,-1.85,(-2.10%)
90,Maxim Integrated Products Inc,MXIM,0.168,44.99,-0.77,(-1.68%)
91,Take-Two Interactive Software Inc,TTWO,0.164,104.80,-1.56,(-1.47%)
92,Trip.com Group Ltd ADR,TCOM,0.164,24.15,1.10,(4.77%)
93,Align Technology Inc,ALGN,0.152,152.42,10.19,(7.16%)
94,Western Digital Corp,WDC,0.127,33.15,1.81,(5.78%)
95,NetApp Inc,NTAP,0.120,37.15,-1.41,(-3.66%)
96,Ulta Beauty Inc,ULTA,0.118,162.14,15.15,(10.31%)
97,Fox Corp,FOXA,0.110,21.79,-1.03,(-4.51%)
98,Liberty Global PLC,LBTYK,0.099,16.72,0.12,(0.72%)
99,Expedia Group Inc,EXPE,0.092,51.45,3.02,(6.24%)
100,Fox Corp,FOX,0.079,21.10,-0.84,(-3.83%)
101,United Airlines Holdings Inc,UAL,0.073,25.15,3.87,(18.19%)
102,American Airlines Group Inc,AAL,0.061,10.55,0.26,(2.48%)
103,Liberty Global PLC,LBTYA,0.044,17.83,0.13,(0.71%)
